id,auction_name,category_id,auction_price,auction_start_date,auction_start_time,auction_end_date,auction_end_time,description,min_price,auction_status,received_user_id,received_status,auction_guarantee_amount,guarantee_amount_status,user_id,auction_post_id,bid_price,date_time,auction_company_id,status,payment_status,category_name,category_created_at,category_status
1,Add User Auction,1,173,2025-01-28,2025-02-10 00:30:00,2025-02-28,2025-02-10 00:45:00,"Whether you have recently changed your DNS records, switched web host, or started a new website  checking whether the DNS records are propagated globally  ",4,Active,4,Pending,5,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,All,01/03/25 11:20,Active
2,Company Auction,2,167,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",1,Active,2,Complete,3,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Automotive,01/03/25 11:20,Active
3,latest auction,3,755,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",4,Active,0,Pending,3,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Antiques,01/03/25 11:20,Active
4,institutions add auction,4,172,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",3,Active,1,Pending,0,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Books & Comic,01/03/25 11:20,Active
5,fghfdfgdfg,5,1005,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,3,Deactive,2,Pending,45,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Digital Art,01/03/25 11:21,Active
6,fghfdfgdfg,6,166,2025-01-22,2025-02-10 00:15:00,2025-01-22,2025-02-10 01:00:00,ty ,4,Deactive,5,Pending,46,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Real Estate,01/03/25 11:21,Active
8,Company Auction,8,168,2025-01-28,2025-02-10 01:00:00,2025-03-27,2025-02-10 01:00:00,"The date format Ymd represents a yearmonthday format, such as 00. This is commonly used for storing dates in databases. ",3,Active,2,Complete,5,Unpaid,12,1,170,1/30/2025 9:20,1,Pending,1,Cars,01/03/25 11:21,Active
9,latest auction,9,747,2025-01-28,2025-02-10 00:45:00,2025-02-28,2025-02-10 01:00:00,"to try, use or examine something carefully to find out if it is working properly or what it is like ",5,Active,1,Pending,1,Unpaid,1,2,170,1/28/2025 13:38,2,Complete,2,Charity Auctions,01/03/25 11:21,Active
10,institutions add auction,10,172,2025-01-30,2025-02-10 01:00:00,2025-02-28,2025-02-10 00:30:00,"Test data is a collection of inputs used to test the functionality, performance, and accuracy of software ",1,Active,2,Pending,5,Unpaid,2,3,750,1/29/2025 10:06,1,Pending,1,Unique License Plates,01/03/25 11:21,Active
11,fghfdfgdfg,11,1000,2025-01-24,2025-02-10 01:00:00,2025-01-09,2025-02-10 00:30:00,ghjghj ,2,Deactive,4,Pending,55,Unpaid,1,4,170,1/30/2025 9:19,12,Pending,1,Commercial Assets,01/03/25 11:21,Active
